Line #,Comment,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","10uF","WCAP-ASLI Aluminum Electrolytic Capacitors","C1","1","","","","","","",""
"","22UF","Multilayer Ceramic Capacitor, 22 uF, 16 V, ± 10%, X5R, 0805 [2012 Metric]","C2","1","","","","","","",""
"","1000pF","Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 1000pF X7R 0805 10%","C3","1","","","","","","",""
"","0.1uF","100nF ±10% 16V X7R 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","C4, C6","2","","","","","","",""
"","15nF","0.015 µF ±10% 16V Ceramic Capacitor X7R 0603 (1608 Metric)","C5","1","","","","","","",""
"","Diode 20 V 5A Surface Mount SMC","VR=20V IF=5A 300pF","D1","1","","","","","","",""
"","TERM BLK 2POS SIDE ENT 3.5MM PCB","Conn Terminal Block 2 POS 3.5mm Solder ST Thru-Hole 10A Box","J1, J2","2","","","","","","",""
"","10uH","Inductor Power Semi-Shielded Wirewound 10uH 20% 100KHz 17Q-Factor Ferrite 2.5A 58.6mOhm DCR T/R","L1","1","","","","","","",""
"","N-Channel 30 V 4.4A (Ta) 1.25W (Ta) Surface Mount SOT-23","1.25W/30V/4.4A/MOSFET/SOT-23/SINGLE N-ch","Q1","1","","","","","","",""
"","3.3k","SMD Chip Resistor, 3.3 kOhm, ï¿½ 1%, 125 mW, 0805 [2012 Metric], Thick Film, General Purpose","R1","1","","","","","","",""
"","20k","125Mw Thick Film Resistors 100Ppm/ 1% 20K 0805 Chip Resistor Surface Mount Rohs","R2","1","","","","","","",""
"","5R","Res Thin Film 0603 5 Ohm 1% 0.4W ±50ppm/C Pad SMD T/R Automotive","R3","1","","","","","","",""
"","5K","Bourns 3296W-1-502LF 5K 10% Potentiometer Cermet Trimming 3/8"" (3296W Series)","R4","1","","","","","","",""
"","71.5K","Res Thick Film 2.0 x 1.2 mm 71.5K Ohm 1% 0.125W(1/8W) 100ppm/ C Molded SMD Paper T/R","R5","1","","","","","","",""
"","100k","SMD Chip Resistor, 100 kOhm, ï¿½ 1%, 125 mW, 0805 [2012 Metric], Thick Film, General Purpose","R6","1","","","","","","",""
"","10k","1 kOhms .5W, 1/2W PC Pins Through Hole Trimmer Potentiometer Cermet 25. Turn Top Adjustment","R7","1","","","","","","",""
"","180k","Conn Shrouded Header (4 Sides) HDR 6 POS 2.5mm Solder ST Top Entry Thru-Hole SPOX Bag","R8","1","","","","","","",""
"","80mR","Low Ohmic Chip Resistor Thick Film 0805 80mOhm 5% Paper T/R","R9","1","","","","","","",""
"","IC REG CTRLR MULT TOPOLOGY 8SOIC","IC REG CTRLR MULT TOPOLOGY 8SOIC","U1","1","","","","","","",""
